[0146.12] Log: Log file open, 06/06/16 00:22:43
[3630.94] Log: [TRICKNAME] 3290.757813 : Hide trick name
[3709.44] Log: [TRICKNAME] 3369.807129 : Show trick name
[3710.44] Log: [TRICKNAME] 3370.813721 : Show trick name
[3712.44] Log: [TRICKNAME] 3372.839111 : Hide trick name
[3713.82] Log: [TRICKNAME] 3374.237549 : Show trick name
[3714.82] Log: [TRICKNAME] 3375.246826 : Show trick name
[3716.83] Log: [TRICKNAME] 3377.270020 : Hide trick name
[3733.13] Log: [TRICKNAME] 3393.740967 : Show trick name
[3734.13] Log: [TRICKNAME] 3394.744385 : Show trick name
[3736.13] Log: [TRICKNAME] 3396.775879 : Hide trick name
[3816.29] Log: [TRICKNAME] 3477.392578 : Show trick name
[3817.29] Log: [TRICKNAME] 3478.397461 : Show trick name
[3819.29] Log: [TRICKNAME] 3480.419189 : Hide trick name
[3822.71] Log: [TRICKNAME] 3483.887939 : Show trick name
[3823.70] Log: [TRICKNAME] 3484.897217 : Show trick name
[3825.71] Log: [TRICKNAME] 3486.916748 : Hide trick name
[3835.38] Log: [TRICKNAME] 3496.675781 : Show trick name
[3836.37] Log: [TRICKNAME] 3497.674805 : Show trick name
[3838.37] Log: [TRICKNAME] 3499.678955 : Hide trick name
[3889.56] Log: [TRICKNAME] 3551.199951 : Show trick name
[3890.55] Log: [TRICKNAME] 3552.198730 : Show trick name
[3892.55] Log: [TRICKNAME] 3554.216064 : Hide trick name
[3895.92] Log: [TRICKNAME] 3557.589111 : Show trick name
[3896.92] Log: [TRICKNAME] 3558.584961 : Show trick name
[3898.92] Log: [TRICKNAME] 3560.586670 : Hide trick name
[3899.12] Log: [TRICKNAME] 3560.784180 : Show trick name
[3900.11] Log: [TRICKNAME] 3561.788330 : Show trick name
[3902.11] Log: [TRICKNAME] 3563.819580 : Hide trick name
[3903.35] Log: [TRICKNAME] 3565.077393 : Show trick name
[3904.34] Log: [TRICKNAME] 3566.079590 : Show trick name
[3906.35] Log: [TRICKNAME] 3568.108154 : Hide trick name
[3917.51] Log: [TRICKNAME] 3579.400635 : Show trick name
[3918.50] Log: [TRICKNAME] 3580.408447 : Show trick name
[3919.50] Log: [TRICKNAME] 3581.424072 : Show trick name
[3920.50] Log: [TRICKNAME] 3582.433838 : Show trick name
[3922.50] Log: [TRICKNAME] 3584.436768 : Hide trick name
[3927.42] Log: [TRICKNAME] 3589.357910 : Show trick name
[3928.42] Log: [TRICKNAME] 3590.354980 : Show trick name
[3930.42] Log: [TRICKNAME] 3592.349609 : Hide trick name
[3977.04] Log: [TRICKNAME] 3639.470215 : Show trick name
[3978.04] Log: [TRICKNAME] 3640.469971 : Show trick name
[3979.04] Log: [TRICKNAME] 3641.476807 : Show trick name
[3980.04] Log: [TRICKNAME] 3642.479980 : Show trick name
[3982.04] Log: [TRICKNAME] 3644.480713 : Hide trick name
[4002.79] Log: [TRICKNAME] 3665.361084 : Show trick name
[4003.78] Log: [TRICKNAME] 3666.368896 : Show trick name
[4005.78] Log: [TRICKNAME] 3668.401367 : Hide trick name
[4019.26] Log: [TRICKNAME] 3682.057617 : Show trick name
[4020.26] Log: [TRICKNAME] 3683.068359 : Show trick name
[4021.93] Log: [TRICKNAME] 3684.761230 : Show trick name
[4022.93] Log: [TRICKNAME] 3685.777344 : Show trick name
[4024.93] Log: [TRICKNAME] 3687.814453 : Hide trick name
[4028.62] Log: [TRICKNAME] 3691.555420 : Show trick name
[4029.61] Log: [TRICKNAME] 3692.563232 : Show trick name
[4030.70] Log: [TRICKNAME] 3693.664795 : Show trick name
[4031.70] Log: [TRICKNAME] 3694.681396 : Show trick name
[4032.72] Log: [TRICKNAME] 3695.711182 : Show trick name
[4033.72] Log: [TRICKNAME] 3696.726807 : Show trick name
[4035.72] Log: [TRICKNAME] 3698.755859 : Hide trick name
[4088.39] Log: [TRICKNAME] 3752.039795 : Show trick name
[4089.39] Log: [TRICKNAME] 3753.050781 : Show trick name
[4091.39] Log: [TRICKNAME] 3755.082031 : Hide trick name
[4098.57] Log: [TRICKNAME] 3762.359619 : Show trick name
[4099.57] Log: [TRICKNAME] 3763.370605 : Show trick name
[4101.57] Log: [TRICKNAME] 3765.396240 : Hide trick name
[4113.22] Log: [TRICKNAME] 3777.196777 : Show trick name
[4114.21] Log: [TRICKNAME] 3778.195313 : Show trick name
[4115.22] Log: [TRICKNAME] 3779.211182 : Show trick name
[4116.22] Log: [TRICKNAME] 3780.224854 : Show trick name
[4117.22] Log: [TRICKNAME] 3781.236084 : Show trick name
